"","W1Q50","COHORT","Bullied","W1Q52","W1Q53"
"375",24,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"376",17,"(2) Middle",1,"(5) Out to no one at school","(2) Agree"
"377",NA,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"378",20,"(1) Younger",1,"(5) Out to no one at school","(3) Disagree"
"379",17,"(1) Younger",4,"(1) Out to everyone at school","(3) Disagree"
"380",15,"(1) Younger",1,"(5) Out to no one at school","(1) Agree strongly"
"381",18,"(1) Younger",4,"(5) Out to no one at school","(4) Disagree strongly"
"382",17,"(3) Older",1,"(3) Out to some people at school","(2) Agree"
"383",21,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"384",15,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"385",NA,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
